season,matchweek,team,overall_pos,overall_wins,overall_loss,overall_draws,overall_points,overall_played,overall_gf,overall_ga,overall_gd,home_pos,home_wins,home_loss,home_draws,home_points,home_played,home_gf,home_ga,home_gd,away_pos,away_wins,away_loss,away_draws,away_points,away_played,away_gf,away_ga,away_gd,champion_label
2017,1,Manchester United,1,1,0,0,3,1,4,0,4,1,1,0,0,3,1,4,0,4,12,0,0,0,0,0,0,0,0,0
2017,1,Huddersfield Town,2,1,0,0,3,1,3,0,3,9,0,0,0,0,0,0,0,0,1,1,0,0,3,1,3,0,3,0
2017,1,Manchester City,3,1,0,0,3,1,2,0,2,12,0,0,0,0,0,0,0,0,2,1,0,0,3,1,2,0,2,1
2017,1,Tottenham Hotspur,4,1,0,0,3,1,2,0,2,15,0,0,0,0,0,0,0,0,3,1,0,0,3,1,2,0,2,0
2017,1,Arsenal,5,1,0,0,3,1,4,3,1,2,1,0,0,3,1,4,3,1,7,0,0,0,0,0,0,0,0,0
2017,1,Burnley,6,1,0,0,3,1,3,2,1,8,0,0,0,0,0,0,0,0,4,1,0,0,3,1,3,2,1,0
2017,1,Everton,7,1,0,0,3,1,1,0,1,3,1,0,0,3,1,1,0,1,11,0,0,0,0,0,0,0,0,0
2017,1,West Bromwich Albion,8,1,0,0,3,1,1,0,1,4,1,0,0,3,1,1,0,1,16,0,0,0,0,0,0,0,0,0
2017,1,Liverpool,9,0,0,1,1,1,3,3,0,11,0,0,0,0,0,0,0,0,5,0,0,1,1,1,3,3,0,0
2017,1,Watford,10,0,0,1,1,1,3,3,0,5,0,0,1,1,1,3,3,0,15,0,0,0,0,0,0,0,0,0
2017,1,Southampton,11,0,0,1,1,1,0,0,0,6,0,0,1,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0
2017,1,Swansea City,12,0,0,1,1,1,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,1,1,1,0,0,0,0
2017,1,Leicester City,13,0,1,0,0,1,3,4,-1,10,0,0,0,0,0,0,0,0,17,0,1,0,0,1,3,4,-1,0
2017,1,Chelsea,14,0,1,0,0,1,2,3,-1,17,0,1,0,0,1,2,3,-1,9,0,0,0,0,0,0,0,0,0
2017,1,Bournemouth,15,0,1,0,0,1,0,1,-1,7,0,0,0,0,0,0,0,0,18,0,1,0,0,1,0,1,-1,0
2017,1,Stoke City,16,0,1,0,0,1,0,1,-1,13,0,0,0,0,0,0,0,0,19,0,1,0,0,1,0,1,-1,0
2017,1,Brighton and Hove Albion,17,0,1,0,0,1,0,2,-2,18,0,1,0,0,1,0,2,-2,8,0,0,0,0,0,0,0,0,0
