season,matchweek,team,overall_pos,overall_wins,overall_loss,overall_draws,overall_points,overall_played,overall_gf,overall_ga,overall_gd,home_pos,home_wins,home_loss,home_draws,home_points,home_played,home_gf,home_ga,home_gd,away_pos,away_wins,away_loss,away_draws,away_points,away_played,away_gf,away_ga,away_gd,champion_label
2017,1,Newcastle United,18,0,1,0,0,1,0,2,-2,19,0,1,0,0,1,0,2,-2,13,0,0,0,0,0,0,0,0,0
2017,1,Crystal Palace,19,0,1,0,0,1,0,3,-3,20,0,1,0,0,1,0,3,-3,10,0,0,0,0,0,0,0,0,0
2017,1,West Ham United,20,0,1,0,0,1,0,4,-4,16,0,0,0,0,0,0,0,0,20,0,1,0,0,1,0,4,-4,0
2017,2,Manchester United,1,2,0,0,6,2,8,0,8,2,1,0,0,3,1,4,0,4,1,1,0,0,3,1,4,0,4,0
2017,2,Huddersfield Town,2,2,0,0,6,2,4,0,4,6,1,0,0,3,1,1,0,1,2,1,0,0,3,1,3,0,3,0
2017,2,West Bromwich Albion,3,2,0,0,6,2,2,0,2,9,1,0,0,3,1,1,0,1,8,1,0,0,3,1,1,0,1,0
2017,2,Watford,4,1,0,1,4,2,5,3,2,10,0,0,1,1,1,3,3,0,5,1,0,0,3,1,2,0,2,0
2017,2,Manchester City,5,1,0,1,4,2,3,1,2,11,0,0,1,1,1,1,1,0,3,1,0,0,3,1,2,0,2,1
2017,2,Liverpool,6,1,0,1,4,2,4,3,1,7,1,0,0,3,1,1,0,1,9,0,0,1,1,1,3,3,0,0
2017,2,Southampton,7,1,0,1,4,2,3,2,1,1,1,0,1,4,2,3,2,1,12,0,0,0,0,0,0,0,0,0
2017,2,Everton,8,1,0,1,4,2,2,1,1,5,1,0,0,3,1,1,0,1,10,0,0,1,1,1,1,1,0,0
2017,2,Leicester City,9,1,1,0,3,2,5,4,1,3,1,0,0,3,1,2,0,2,13,0,1,0,0,1,3,4,-1,0
2017,2,Tottenham Hotspur,10,1,1,0,3,2,3,2,1,14,0,1,0,0,1,1,2,-1,4,1,0,0,3,1,2,0,2,0
2017,2,Arsenal,11,1,1,0,3,2,4,4,0,4,1,0,0,3,1,4,3,1,14,0,1,0,0,1,0,1,-1,0
2017,2,Chelsea,12,1,1,0,3,2,4,4,0,13,0,1,0,0,1,2,3,-1,7,1,0,0,3,1,2,1,1,0
2017,2,Burnley,13,1,1,0,3,2,3,3,0,15,0,1,0,0,1,0,1,-1,6,1,0,0,3,1,3,2,1,0
2017,2,Stoke City,14,1,1,0,3,2,1,1,0,8,1,0,0,3,1,1,0,1,18,0,1,0,0,1,0,1,-1,0
2017,2,Swansea City,15,0,1,1,1,2,0,4,-4,20,0,1,0,0,1,0,4,-4,11,0,0,1,1,1,0,0,0,0
2017,2,Bournemouth,16,0,2,0,0,2,0,3,-3,16,0,1,0,0,1,0,2,-2,15,0,1,0,0,1,0,1,-1,0
2017,2,Newcastle United,17,0,2,0,0,2,0,3,-3,18,0,1,0,0,1,0,2,-2,17,0,1,0,0,1,0,1,-1,0
2017,2,Brighton and Hove Albion,18,0,2,0,0,2,0,4,-4,17,0,1,0,0,1,0,2,-2,19,0,1,0,0,1,0,2,-2,0
2017,2,Crystal Palace,19,0,2,0,0,2,0,4,-4,19,0,1,0,0,1,0,3,-3,16,0,1,0,0,1,0,1,-1,0
2017,2,West Ham United,20,0,2,0,0,2,2,7,-5,12,0,0,0,0,0,0,0,0,20,0,2,0,0,2,2,7,-5,0
2017,3,Manchester United,1,3,0,0,9,3,10,0,10,1,2,0,0,6,2,6,0,6,4,1,0,0,3,1,4,0,4,0
2017,3,Liverpool,2,2,0,1,7,3,8,3,5,2,2,0,0,6,2,5,0,5,10,0,0,1,1,1,3,3,0,0
2017,3,Huddersfield Town,3,2,0,1,7,3,4,0,4,5,1,0,1,4,2,1,0,1,5,1,0,0,3,1,3,0,3,0
2017,3,Manchester City,4,2,0,1,7,3,5,2,3,13,0,0,1,1,1,1,1,0,1,2,0,0,6,2,4,1,3,1
2017,3,West Bromwich Albion,5,2,0,1,7,3,3,1,2,4,1,0,1,4,2,2,1,1,9,1,0,0,3,1,1,0,1,0
2017,3,Chelsea,6,2,1,0,6,3,6,4,2,8,1,1,0,3,2,4,3,1,8,1,0,0,3,1,2,1,1,0
2017,3,Watford,7,1,0,2,5,3,5,3,2,12,0,0,2,2,2,3,3,0,7,1,0,0,3,1,2,0,2,0
2017,3,Southampton,8,1,0,2,5,3,3,2,1,3,1,0,1,4,2,3,2,1,11,0,0,1,1,1,0,0,0,0
2017,3,Tottenham Hotspur,9,1,1,1,4,3,4,3,1,14,0,1,1,1,2,2,3,-1,6,1,0,0,3,1,2,0,2,0
2017,3,Burnley,10,1,1,1,4,3,4,4,0,16,0,1,0,0,1,0,1,-1,3,1,0,1,4,2,4,3,1,0
2017,3,Stoke City,11,1,1,1,4,3,2,2,0,11,1,0,0,3,1,1,0,1,12,0,1,1,1,2,1,2,-1,0
2017,3,Everton,12,1,1,1,4,3,2,3,-1,10,1,0,0,3,1,1,0,1,13,0,1,1,1,2,1,3,-2,0
2017,3,Swansea City,13,1,1,1,4,3,2,4,-2,19,0,1,0,0,1,0,4,-4,2,1,0,1,4,2,2,0,2,0
2017,3,Newcastle United,14,1,2,0,3,3,3,3,0,9,1,1,0,3,2,3,2,1,17,0,1,0,0,1,0,1,-1,0
2017,3,Leicester City,15,1,2,0,3,3,5,6,-1,6,1,0,0,3,1,2,0,2,18,0,2,0,0,2,3,6,-3,0
2017,3,Arsenal,16,1,2,0,3,3,4,8,-4,7,1,0,0,3,1,4,3,1,19,0,2,0,0,2,0,5,-5,0
2017,3,Brighton and Hove Albion,17,0,2,1,1,3,0,4,-4,17,0,1,0,0,1,0,2,-2,14,0,1,1,1,2,0,2,-2,0
2017,3,Bournemouth,18,0,3,0,0,3,1,5,-4,18,0,2,0,0,2,1,4,-3,15,0,1,0,0,1,0,1,-1,0
2017,3,Crystal Palace,19,0,3,0,0,3,0,6,-6,20,0,2,0,0,2,0,5,-5,16,0,1,0,0,1,0,1,-1,0
2017,3,West Ham United,20,0,3,0,0,3,2,10,-8,15,0,0,0,0,0,0,0,0,20,0,3,0,0,3,2,10,-8,0
2017,4,Manchester United,1,3,0,1,10,4,12,2,10,1,2,0,0,6,2,6,0,6,5,1,0,1,4,2,6,2,4,0
2017,4,Manchester City,2,3,0,1,10,4,10,2,8,4,1,0,1,4,2,6,1,5,3,2,0,0,6,2,4,1,3,1
2017,4,Chelsea,3,3,1,0,9,4,8,5,3,10,1,1,0,3,2,4,3,1,4,2,0,0,6,2,4,2,2,0
2017,4,Watford,4,2,0,2,8,4,7,3,4,16,0,0,2,2,2,3,3,0,2,2,0,0,6,2,4,0,4,0
2017,4,Tottenham Hotspur,5,2,1,1,7,4,7,3,4,17,0,1,1,1,2,2,3,-1,1,2,0,0,6,2,5,0,5,0
2017,4,Huddersfield Town,6,2,1,1,7,4,4,2,2,7,1,0,1,4,2,1,0,1,8,1,1,0,3,2,3,2,1,0
2017,4,Burnley,7,2,1,1,7,4,5,4,1,14,1,1,0,3,2,1,1,0,7,1,0,1,4,2,4,3,1,0
2017,4,Liverpool,8,2,1,1,7,4,8,8,0,2,2,0,0,6,2,5,0,5,15,0,1,1,1,2,3,8,-5,0
2017,4,West Bromwich Albion,9,2,1,1,7,4,4,4,0,6,1,0,1,4,2,2,1,1,10,1,1,0,3,2,2,3,-1,0
2017,4,Newcastle United,10,2,2,0,6,4,4,3,1,12,1,1,0,3,2,3,2,1,9,1,1,0,3,2,1,1,0,0
2017,4,Arsenal,11,2,2,0,6,4,7,8,-1,3,2,0,0,6,2,7,3,4,19,0,2,0,0,2,0,5,-5,0
2017,4,Stoke City,12,1,1,2,5,4,4,4,0,5,1,0,1,4,2,3,2,1,12,0,1,1,1,2,1,2,-1,0
2017,4,Southampton,13,1,1,2,5,4,3,4,-1,8,1,1,1,4,3,3,4,-1,11,0,0,1,1,1,0,0,0,0
2017,4,Brighton and Hove Albion,14,1,2,1,4,4,3,5,-2,13,1,1,0,3,2,3,3,0,14,0,1,1,1,2,0,2,-2,0
2017,4,Swansea City,15,1,2,1,4,4,2,5,-3,20,0,2,0,0,2,0,5,-5,6,1,0,1,4,2,2,0,2,0
2017,4,Everton,16,1,2,1,4,4,2,6,-4,15,1,1,0,3,2,1,3,-2,13,0,1,1,1,2,1,3,-2,0
2017,4,Leicester City,17,1,3,0,3,4,6,8,-2,11,1,1,0,3,2,3,2,1,17,0,2,0,0,2,3,6,-3,0
2017,4,West Ham United,18,1,3,0,3,4,4,10,-6,9,1,0,0,3,1,2,0,2,20,0,3,0,0,3,2,10,-8,0
2017,4,Bournemouth,19,0,4,0,0,4,1,8,-7,18,0,2,0,0,2,1,4,-3,18,0,2,0,0,2,0,4,-4,0
2017,4,Crystal Palace,20,0,4,0,0,4,0,7,-7,19,0,2,0,0,2,0,5,-5,16,0,2,0,0,2,0,2,-2,0
2017,5,Manchester City,1,4,0,1,13,5,16,2,14,7,1,0,1,4,2,6,1,5,1,3,0,0,9,3,10,1,9,1
2017,5,Manchester United,2,4,0,1,13,5,16,2,14,1,3,0,0,9,3,10,0,10,7,1,0,1,4,2,6,2,4,0
2017,5,Chelsea,3,3,1,1,10,5,8,5,3,8,1,1,1,4,3,4,3,1,4,2,0,0,6,2,4,2,2,0
2017,5,Newcastle United,4,3,2,0,9,5,6,4,2,4,2,1,0,6,3,5,3,2,10,1,1,0,3,2,1,1,0,0
2017,5,Tottenham Hotspur,5,2,1,2,8,5,7,3,4,17,0,1,2,2,3,2,3,-1,2,2,0,0,6,2,5,0,5,0
2017,5,Huddersfield Town,6,2,1,2,8,5,5,3,2,5,1,0,2,5,3,2,1,1,9,1,1,0,3,2,3,2,1,0
2017,5,Burnley,7,2,1,2,8,5,6,5,1,14,1,1,0,3,2,1,1,0,6,1,0,2,5,3,5,4,1,0
2017,5,Liverpool,8,2,1,2,8,5,9,9,0,2,2,0,1,7,3,6,1,5,15,0,1,1,1,2,3,8,-5,0
2017,5,Southampton,9,2,1,2,8,5,4,4,0,10,1,1,1,4,3,3,4,-1,8,1,0,1,4,2,1,0,1,0
2017,5,West Bromwich Albion,10,2,1,2,8,5,4,4,0,6,1,0,2,5,3,2,1,1,11,1,1,0,3,2,2,3,-1,0
2017,5,Watford,11,2,1,2,8,5,7,9,-2,18,0,1,2,2,3,3,9,-6,3,2,0,0,6,2,4,0,4,0
2017,5,Arsenal,12,2,2,1,7,5,7,8,-1,3,2,0,0,6,2,7,3,4,16,0,2,1,1,3,0,5,-5,0
2017,5,Stoke City,13,1,2,2,5,5,5,6,-1,9,1,0,1,4,2,3,2,1,12,0,2,1,1,3,2,4,-2,0
2017,5,Swansea City,14,1,2,2,5,5,2,5,-3,19,0,2,0,0,2,0,5,-5,5,1,0,2,5,3,2,0,2,0
2017,5,Leicester City,15,1,3,1,4,5,7,9,-2,12,1,1,0,3,2,3,2,1,13,0,2,1,1,3,4,7,-3,0
2017,5,Brighton and Hove Albion,16,1,3,1,4,5,4,7,-3,13,1,1,0,3,2,3,3,0,14,0,2,1,1,3,1,4,-3,0
2017,5,West Ham United,17,1,3,1,4,5,4,10,-6,11,1,0,0,3,1,2,0,2,18,0,3,1,1,4,2,10,-8,0
2017,5,Everton,18,1,3,1,4,5,2,10,-8,16,1,1,0,3,2,1,3,-2,17,0,2,1,1,3,1,7,-6,0
2017,5,Bournemouth,19,1,4,0,3,5,3,9,-6,15,1,2,0,3,3,3,5,-2,20,0,2,0,0,2,0,4,-4,0
2017,5,Crystal Palace,20,0,5,0,0,5,0,8,-8,20,0,3,0,0,3,0,6,-6,19,0,2,0,0,2,0,2,-2,0
2017,6,Manchester City,1,5,0,1,16,6,21,2,19,3,2,0,1,7,3,11,1,10,1,3,0,0,9,3,10,1,9,1
2017,6,Manchester United,2,5,0,1,16,6,17,2,15,1,3,0,0,9,3,10,0,10,5,2,0,1,7,3,7,2,5,0
2017,6,Chelsea,3,4,1,1,13,6,12,5,7,10,1,1,1,4,3,4,3,1,2,3,0,0,9,3,8,2,6,0
2017,6,Tottenham Hotspur,4,3,1,2,11,6,10,5,5,17,0,1,2,2,3,2,3,-1,3,3,0,0,9,3,8,2,6,0
2017,6,Liverpool,5,3,1,2,11,6,12,11,1,4,2,0,1,7,3,6,1,5,10,1,1,1,4,3,6,10,-4,0
2017,6,Watford,6,3,1,2,11,6,9,10,-1,18,0,1,2,2,3,3,9,-6,4,3,0,0,9,3,6,1,5,0
2017,6,Arsenal,7,3,2,1,10,6,9,8,1,2,3,0,0,9,3,9,3,6,16,0,2,1,1,3,0,5,-5,0
2017,6,Huddersfield Town,8,2,1,3,9,6,5,3,2,8,1,0,2,5,3,2,1,1,8,1,1,1,4,3,3,2,1,0
2017,6,Burnley,9,2,1,3,9,6,6,5,1,11,1,1,1,4,3,1,1,0,7,1,0,2,5,3,5,4,1,0
2017,6,Newcastle United,10,3,3,0,9,6,6,5,1,5,2,1,0,6,3,5,3,2,11,1,2,0,3,3,1,2,-1,0
2017,6,Southampton,11,2,2,2,8,6,4,5,-1,12,1,2,1,4,4,3,5,-2,9,1,0,1,4,2,1,0,1,0
2017,6,West Bromwich Albion,12,2,2,2,8,6,4,6,-2,9,1,0,2,5,3,2,1,1,12,1,2,0,3,3,2,5,-3,0
2017,6,Brighton and Hove Albion,13,2,3,1,7,6,5,7,-2,6,2,1,0,6,3,4,3,1,15,0,2,1,1,3,1,4,-3,0
2017,6,Everton,14,2,3,1,7,6,4,11,-7,7,2,1,0,6,3,3,4,-1,17,0,2,1,1,3,1,7,-6,0
2017,6,Swansea City,15,1,3,2,5,6,3,7,-4,19,0,3,0,0,3,1,7,-6,6,1,0,2,5,3,2,0,2,0
2017,6,Stoke City,16,1,3,2,5,6,5,10,-5,13,1,1,1,4,3,3,6,-3,13,0,2,1,1,3,2,4,-2,0
2017,6,Leicester City,17,1,4,1,4,6,9,12,-3,15,1,2,0,3,3,5,5,0,14,0,2,1,1,3,4,7,-3,0
2017,6,West Ham United,18,1,4,1,4,6,6,13,-7,14,1,1,0,3,2,4,3,1,18,0,3,1,1,4,2,10,-8,0
2017,6,Bournemouth,19,1,5,0,3,6,4,11,-7,16,1,2,0,3,3,3,5,-2,19,0,3,0,0,3,1,6,-5,0
2017,6,Crystal Palace,20,0,6,0,0,6,0,13,-13,20,0,3,0,0,3,0,6,-6,20,0,3,0,0,3,0,7,-7,0
2017,7,Manchester City,1,6,0,1,19,7,22,2,20,3,2,0,1,7,3,11,1,10,2,4,0,0,12,4,11,1,10,1
2017,7,Manchester United,2,6,0,1,19,7,21,2,19,1,4,0,0,12,4,14,0,14,6,2,0,1,7,3,7,2,5,0
2017,7,Tottenham Hotspur,3,4,1,2,14,7,14,5,9,17,0,1,2,2,3,2,3,-1,1,4,0,0,12,4,12,2,10,0
2017,7,Chelsea,4,4,2,1,13,7,12,6,6,12,1,2,1,4,4,4,4,0,4,3,0,0,9,3,8,2,6,0
2017,7,Arsenal,5,4,2,1,13,7,11,8,3,2,4,0,0,12,4,11,3,8,16,0,2,1,1,3,0,5,-5,0
2017,7,Burnley,6,3,1,3,12,7,7,5,2,13,1,1,1,4,3,1,1,0,5,2,0,2,8,4,6,4,2,0
2017,7,Liverpool,7,3,1,3,12,7,13,12,1,4,2,0,1,7,3,6,1,5,8,1,1,2,5,4,7,11,-4,0
2017,7,Watford,8,3,1,3,12,7,11,12,-1,18,0,1,2,2,3,3,9,-6,3,3,0,1,10,4,8,3,5,0
2017,7,Newcastle United,9,3,3,1,10,7,7,6,1,5,2,1,1,7,4,6,4,2,11,1,2,0,3,3,1,2,-1,0
2017,7,West Bromwich Albion,10,2,2,3,9,7,6,8,-2,9,1,0,3,6,4,4,3,1,12,1,2,0,3,3,2,5,-3,0
2017,7,Huddersfield Town,11,2,2,3,9,7,5,7,-2,11,1,1,2,5,4,2,5,-3,9,1,1,1,4,3,3,2,1,0
2017,7,Southampton,12,2,3,2,8,7,5,7,-2,15,1,2,1,4,4,3,5,-2,10,1,1,1,4,3,2,2,0,0
2017,7,Stoke City,13,2,3,2,8,7,7,11,-4,6,2,1,1,7,4,5,7,-2,14,0,2,1,1,3,2,4,-2,0
2017,7,Brighton and Hove Albion,14,2,4,1,7,7,5,9,-4,8,2,1,0,6,3,4,3,1,15,0,3,1,1,4,1,6,-5,0
2017,7,West Ham United,15,2,4,1,7,7,7,13,-6,7,2,1,0,6,3,5,3,2,18,0,3,1,1,4,2,10,-8,0
2017,7,Everton,16,2,4,1,7,7,4,12,-8,10,2,2,0,6,4,3,5,-2,17,0,2,1,1,3,1,7,-6,0
2017,7,Leicester City,17,1,4,2,5,7,9,12,-3,16,1,2,0,3,3,5,5,0,13,0,2,2,2,4,4,7,-3,0
2017,7,Swansea City,18,1,4,2,5,7,3,8,-5,19,0,3,0,0,3,1,7,-6,7,1,1,2,5,4,2,1,1,0
2017,7,Bournemouth,19,1,5,1,4,7,4,11,-7,14,1,2,1,4,4,3,5,-2,19,0,3,0,0,3,1,6,-5,0
2017,7,Crystal Palace,20,0,7,0,0,7,0,17,-17,20,0,3,0,0,3,0,6,-6,20,0,4,0,0,4,0,11,-11,0
2017,8,Manchester City,1,7,0,1,22,8,29,4,25,3,3,0,1,10,4,18,3,15,2,4,0,0,12,4,11,1,10,1
2017,8,Manchester United,2,6,0,2,20,8,21,2,19,1,4,0,0,12,4,14,0,14,5,2,0,2,8,4,7,2,5,0
2017,8,Tottenham Hotspur,3,5,1,2,17,8,15,5,10,11,1,1,2,5,4,3,3,0,1,4,0,0,12,4,12,2,10,0
2017,8,Watford,4,4,1,3,15,8,13,13,0,15,1,1,2,5,4,5,10,-5,3,3,0,1,10,4,8,3,5,0
2017,8,Chelsea,5,4,3,1,13,8,13,8,5,17,1,2,1,4,4,4,4,0,4,3,1,0,9,4,9,4,5,0
2017,8,Arsenal,6,4,3,1,13,8,12,10,2,2,4,0,0,12,4,11,3,8,17,0,3,1,1,4,1,7,-6,0
2017,8,Burnley,7,3,1,4,13,8,8,6,2,12,1,1,2,5,4,2,2,0,6,2,0,2,8,4,6,4,2,0
2017,8,Liverpool,8,3,1,4,13,8,13,12,1,4,2,0,2,8,4,6,1,5,8,1,1,2,5,4,7,11,-4,0
2017,8,Newcastle United,9,3,3,2,11,8,9,8,1,5,2,1,1,7,4,6,4,2,11,1,2,1,4,4,3,4,-1,0
2017,8,West Bromwich Albion,10,2,2,4,10,8,7,9,-2,9,1,0,3,6,4,4,3,1,12,1,2,1,4,4,3,6,-3,0
2017,8,Southampton,11,2,3,3,9,8,7,9,-2,13,1,2,2,5,5,5,7,-2,9,1,1,1,4,3,2,2,0,0
2017,8,Huddersfield Town,12,2,3,3,9,8,5,9,-4,14,1,1,2,5,4,2,5,-3,10,1,2,1,4,4,3,4,-1,0
2017,8,Swansea City,13,2,4,2,8,8,5,8,-3,19,1,3,0,3,4,3,7,-4,7,1,1,2,5,4,2,1,1,0
2017,8,Brighton and Hove Albion,14,2,4,2,8,8,6,10,-4,6,2,1,1,7,4,5,4,1,16,0,3,1,1,4,1,6,-5,0
2017,8,West Ham United,15,2,4,2,8,8,8,14,-6,8,2,1,0,6,3,5,3,2,15,0,3,2,2,5,3,11,-8,0
2017,8,Everton,16,2,4,2,8,8,5,13,-8,10,2,2,0,6,4,3,5,-2,14,0,2,2,2,4,2,8,-6,0
2017,8,Stoke City,17,2,4,2,8,8,9,18,-9,7,2,1,1,7,4,5,7,-2,18,0,3,1,1,4,4,11,-7,0
2017,8,Leicester City,18,1,4,3,6,8,10,13,-3,16,1,2,1,4,4,6,6,0,13,0,2,2,2,4,4,7,-3,0
2017,8,Bournemouth,19,1,6,1,4,8,4,12,-8,18,1,2,1,4,4,3,5,-2,19,0,4,0,0,4,1,7,-6,0
2017,8,Crystal Palace,20,1,7,0,3,8,2,18,-16,20,1,3,0,3,4,2,7,-5,20,0,4,0,0,4,0,11,-11,0
2017,9,Manchester City,1,8,0,1,25,9,32,4,28,1,4,0,1,13,5,21,3,18,2,4,0,0,12,4,11,1,10,1
2017,9,Manchester United,2,6,1,2,20,9,22,4,18,2,4,0,0,12,4,14,0,14,5,2,1,2,8,5,8,4,4,0
2017,9,Tottenham Hotspur,3,6,1,2,20,9,19,6,13,6,2,1,2,8,5,7,4,3,1,4,0,0,12,4,12,2,10,0
2017,9,Chelsea,4,5,3,1,16,9,17,10,7,9,2,2,1,7,5,8,6,2,4,3,1,0,9,4,9,4,5,0
2017,9,Arsenal,5,5,3,1,16,9,17,12,5,3,4,0,0,12,4,11,3,8,14,1,3,1,4,5,6,9,-3,0
2017,9,Watford,6,4,2,3,15,9,15,17,-2,16,1,1,2,5,4,5,10,-5,3,3,1,1,10,5,10,7,3,0
2017,9,Newcastle United,7,4,3,2,14,9,10,8,2,4,3,1,1,10,5,7,4,3,12,1,2,1,4,4,3,4,-1,0
2017,9,Burnley,8,3,2,4,13,9,8,9,-1,15,1,1,2,5,4,2,2,0,6,2,1,2,8,5,6,7,-1,0
2017,9,Liverpool,9,3,2,4,13,9,14,16,-2,5,2,0,2,8,4,6,1,5,9,1,2,2,5,5,8,15,-7,0
2017,9,Southampton,10,3,3,3,12,9,8,9,-1,7,2,2,2,8,6,6,7,-1,10,1,1,1,4,3,2,2,0,0
2017,9,Huddersfield Town,11,3,3,3,12,9,7,10,-3,8,2,1,2,8,5,4,6,-2,11,1,2,1,4,4,3,4,-1,0
2017,9,Brighton and Hove Albion,12,3,4,2,11,9,9,10,-1,10,2,1,1,7,4,5,4,1,13,1,3,1,4,5,4,6,-2,0
2017,9,West Bromwich Albion,13,2,3,4,10,9,7,10,-3,12,1,0,3,6,4,4,3,1,15,1,3,1,4,5,3,7,-4,0
2017,9,Leicester City,14,2,4,3,9,9,12,14,-2,17,1,2,1,4,4,6,6,0,8,1,2,2,5,5,6,8,-2,0
2017,9,Swansea City,15,2,5,2,8,9,6,10,-4,19,1,4,0,3,5,4,9,-5,7,1,1,2,5,4,2,1,1,0
2017,9,West Ham United,16,2,5,2,8,9,8,17,-9,13,2,2,0,6,4,5,6,-1,18,0,3,2,2,5,3,11,-8,0
2017,9,Stoke City,17,2,5,2,8,9,10,20,-10,11,2,2,1,7,5,6,9,-3,19,0,3,1,1,4,4,11,-7,0
2017,9,Everton,18,2,5,2,8,9,7,18,-11,14,2,3,0,6,5,5,10,-5,17,0,2,2,2,4,2,8,-6,0
2017,9,Bournemouth,19,2,6,1,7,9,6,13,-7,18,1,2,1,4,4,3,5,-2,16,1,4,0,3,5,3,8,-5,0
2017,9,Crystal Palace,20,1,8,0,3,9,2,19,-17,20,1,3,0,3,4,2,7,-5,20,0,5,0,0,5,0,12,-12,0
2017,10,Manchester City,1,9,0,1,28,10,35,6,29,3,4,0,1,13,5,21,3,18,1,5,0,0,15,5,14,3,11,1
2017,10,Manchester United,2,7,1,2,23,10,23,4,19,1,5,0,0,15,5,15,0,15,5,2,1,2,8,5,8,4,4,0
2017,10,Tottenham Hotspur,3,6,2,2,20,10,19,7,12,6,2,1,2,8,5,7,4,3,2,4,1,0,12,5,12,3,9,0
2017,10,Chelsea,4,6,3,1,19,10,18,10,8,11,2,2,1,7,5,8,6,2,3,4,1,0,12,5,10,4,6,0
2017,10,Arsenal,5,6,3,1,19,10,19,13,6,2,5,0,0,15,5,13,4,9,13,1,3,1,4,5,6,9,-3,0
2017,10,Liverpool,6,4,2,4,16,10,17,16,1,4,3,0,2,11,5,9,1,8,10,1,2,2,5,5,8,15,-7,0
2017,10,Burnley,7,4,2,4,16,10,9,9,0,8,2,1,2,8,5,3,2,1,6,2,1,2,8,5,6,7,-1,0
2017,10,Watford,8,4,3,3,15,10,15,18,-3,17,1,2,2,5,5,5,11,-6,4,3,1,1,10,5,10,7,3,0
2017,10,Newcastle United,9,4,4,2,14,10,10,9,1,5,3,1,1,10,5,7,4,3,12,1,3,1,4,5,3,5,-2,0
2017,10,Southampton,10,3,3,4,13,10,9,10,-1,9,2,2,2,8,6,6,7,-1,7,1,1,2,5,4,3,3,0,0
2017,10,Leicester City,11,3,4,3,12,10,14,14,0,12,2,2,1,7,5,8,6,2,9,1,2,2,5,5,6,8,-2,0
2017,10,Brighton and Hove Albion,12,3,4,3,12,10,10,11,-1,7,2,1,2,8,5,6,5,1,11,1,3,1,4,5,4,6,-2,0
2017,10,Huddersfield Town,13,3,4,3,12,10,7,13,-6,10,2,1,2,8,5,4,6,-2,14,1,3,1,4,5,3,7,-4,0
2017,10,Stoke City,14,3,5,2,11,10,11,20,-9,13,2,2,1,7,5,6,9,-3,16,1,3,1,4,5,5,11,-6,0
2017,10,West Bromwich Albion,15,2,4,4,10,10,9,13,-4,14,1,1,3,6,5,6,6,0,15,1,3,1,4,5,3,7,-4,0
2017,10,West Ham United,16,2,5,3,9,10,10,19,-9,15,2,2,0,6,4,5,6,-1,18,0,3,3,3,6,5,13,-8,0
2017,10,Swansea City,17,2,6,2,8,10,7,12,-5,20,1,4,0,3,5,4,9,-5,8,1,2,2,5,5,3,3,0,0
2017,10,Everton,18,2,6,2,8,10,7,20,-13,16,2,3,0,6,5,5,10,-5,19,0,3,2,2,5,2,10,-8,0
